city_name,graph_area,n,m,k_avg,intersection_count,streets_per_node_avg,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,degree_centrality_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,pagerank_max_node,pagerank_max,pagerank_min_node,pagerank_min,pos,hours_congestion,year_change,cost,inner_time,inner_mile_speed
hanoi,4304112396.310472,60513,149870,4.953315816436137,45641,2.612430386859022,17216246.403999705,114.87453395609332,9319915.538999898,117.9392776659947,79023,14.059344744777654,10.604044643240249,3999.9527936950817,2165.351338638141,1.06693425859,0.0007473143390938812,,,2.834864133877645,0.04911753552139555,8.185675265129662e-05,0.0283605333131867,0.00012724905844066644,5709898550,7.778763423370041e-05,1785097904,2.4843407831005503e-06,,,,,,
zunyi,37894817049.4285,8463,18849,4.454448777029422,6033,2.5535861987474893,18824370.60900003,998.6933316886852,10954796.990000024,1016.78086040468,10774,0.22332869397314145,0.15920382969868396,496.75317298527307,289.08430869875997,1.27717867719,0.0016446495835322828,,,2.582098546614677,0.01575652934607843,0.0005264061424047931,0.04565756823821318,0.000295530808809244,1537908244,0.0006821774915699418,4572746086,1.804292011839456e-05,,,,,,
chennai,506981216.7664513,42264,111623,5.282178686352451,34083,2.742949081961007,9976746.485000143,89.37894954445001,5294141.352999928,91.57671296119992,57811,83.36403519949253,67.22734269601325,19678.730010220646,10442.480269320815,1.04849932213,0.0005375236286428425,,,2.9443876585270763,0.04677873615206524,0.00012498352427306537,0.027601110480156687,0.00042734034153008466,2166734647,0.00010422425937617906,256018770,3.5560596354897417e-06,,,,,,
bangkok,2166072020.3272915,144035,317832,4.413260665810394,89851,2.33911896414066,31371105.53399913,98.70342046741399,17225550.87999999,102.22939530798399,168499,66.4959422624537,41.4810768787012,14482.94666086818,7952.4368157422705,1.05940418021,0.0016801329004002116,,,2.7668695108822385,0.05335463204808487,3.0640408971581404e-05,0.022501475335857658,0.00026044836935637213,66237586,3.2001099745707266e-05,68129611,1.0430410648919288e-06,,,,,,
changchun,25954726940.032444,13652,32871,4.815558159976559,11580,2.9879138587752716,16345075.602999896,497.2491132913479,9902457.082999997,486.5115988503486,20354,0.5259928194021268,0.4461615037120296,629.753325502698,381.52807794431055,1.06307474315,0.0004259073347327432,,,2.6455171403457154,0.02141269612470226,0.0003527623001960606,0.03897841586092358,0.000183359969865707,3523404563,0.0003369102741921766,5813887962,1.1312030839492975e-05,,,,,,
surat,5734104178.262136,15602,38367,4.9182156133829,12010,2.707088834764774,10795374.738000045,281.37135397607443,5873134.704999961,278.9557663626846,21054,2.720913243806563,2.0944858388742995,1882.6610752774725,1024.2462505764868,1.0690924851899999,0.0003388328511481221,,,2.8382301414349085,0.03928435366205933,0.00031525002329229154,0.03799726530786664,0.0005855363416092001,5493603969,0.0003019906873274597,4916489595,9.636732370188353e-06,,,,,,
guayaquil,1706219589.5506551,36971,103995,5.625760731384058,33025,3.1235292526574883,8414328.376000015,80.91089356219064,4842500.119000003,83.84991202036299,57752,21.668371542807442,19.355656330670406,4931.562401188929,2838.145892039201,1.04630461415,0.0004807923457858551,,,3.0188399917051028,0.05297033510118173,0.00015217096920169265,0.023941544917445542,0.00014439690818258982,415313210,0.00010425390226506676,415546903,4.062221655566118e-06,21 (22),167 (23),2%,-,5,12
jeddah,319589.94035283296,26,84,6.461538461538463,26,3.3846153846153846,13076.335999999998,155.67066666666662,6538.168000000002,155.67066666666668,42,81.35425029741404,81.35425029741404,40915.98122758023,20457.990613790123,1.048245212,0.0,,,3.3044871794871797,0.02236571251063717,0.2584615384615386,0.09615384615384616,0.04777656800696749,5312759466,0.051219452060922176,5181936333,0.02812189900509709,,,,,,
abidjan,1949080193.532021,38213,107833,5.643786146075943,33031,2.9062884358726087,12497791.458000002,115.89950625504255,6496834.683000034,116.95682519937414,55549,19.605658159581626,16.946968169710324,6412.148406963265,3333.282388564429,1.05721225688,0.0006769727263453674,,,3.0499991276962057,0.042052687168390855,0.00014769669596144817,0.03691588377428198,0.0003640203893687814,3251048025,9.807307548219216e-05,244526576,3.927041604611253e-06,,,,,,
jakarta,1980021729.7522254,121626,315741,5.191998421390164,101099,2.7570667455971587,22746482.851999763,72.0415874150008,12541328.42500004,74.86868578779925,167511,61.42659859355176,51.059540650925705,11487.996576101308,6333.9347425088245,1.06754700549,0.000962814458686075,,,2.8402797647431064,0.05777080292632649,4.2688579004149735e-05,0.032386441495517726,0.0003116690812923871,4555511671,3.393465686307175e-05,90653275,1.2351523633034175e-06,,,,,,
new taipei city,2728169198.0309105,14626,35149,4.806372213865719,11703,2.823533433611377,8598391.503000094,244.62691692509296,5007883.3050000435,243.7875233667629,20542,5.361104439767334,4.289689953411535,3151.7075660872088,1835.6204991297989,1.21052667548,0.0009957609035818943,,,2.668015862163286,0.03266541688290418,0.0003286408351361777,0.04644208291822165,0.0004973486821345597,1506078722,0.00032085451980924825,47952536,1.038743223702894e-05,,,,,,
shijiazhuang,16348967978.90272,40074,111689,5.574137844986773,33360,2.9417327943304885,36099420.99900016,323.21375425512053,20070697.066000286,341.0599691748281,58848,2.45116389314071,2.0404957697053967,2208.0550310933454,1227.6430592989245,1.05600898791,0.00010744119832749869,,,3.117458119146095,0.02717472424393261,0.0001390995893741082,0.02630134251634507,0.00021166639108440689,6181920748,0.0001278885364900147,5157559027,3.760063537550935e-06,,,,,,
berlin,1126811850.9986699,28578,74352,5.203443208062144,25169,3.003184267618448,10669828.671999963,143.50425909188678,6138199.617000036,143.12828468497963,42886,25.361820586703907,22.336470793853678,9469.041936809164,5447.404206443051,1.0414734286,0.002394017645792985,,,2.808109968040681,0.051573445385767885,0.00018208500570607492,0.05047122495159349,0.0006139668516690325,26804478,0.00016966271867873466,12696810,5.2627617342136845e-06,15 (16),154 (40),-5%,"€1,340",5,11
hefei,13822436300.976973,17305,39797,4.599479919098528,14886,3.0813059809303667,19086088.93499997,479.5861229489652,12295311.057999926,462.0039476195816,26613,1.2519500631575982,1.0769447350571515,1380.8049839702248,889.518373626427,1.05765741579,0.0007286981430761112,,,2.5098218241356265,0.0211042462585337,0.0002658044336048928,0.03733988250024084,0.0004594645455756378,3409912958,0.00033819895449373704,3032181267,8.919850310450647e-06,,,,,,
ningbo,12214118256.512514,26164,60677,4.638205167405594,22147,2.979055190337869,23716026.09800023,390.856932577422,15496583.767000126,397.64398570732413,38971,2.1421112396754034,1.813229537727074,1941.6895759425736,1268.7435508279455,1.10289319935,0.0009064390131351254,,,2.5635071090047483,0.029377704904443486,0.0001772810903721132,0.037123528512460265,0.00016707642542792856,2404995530,0.00023072999958254628,5637138258,5.843236156958053e-06,,,,,,
madrid,732832074.6770833,30666,62008,4.044087914954673,28666,3.081882214830757,6203218.8320000125,100.0390083860149,4759373.855000046,100.91329760617529,47163,41.84587582839184,39.11673764092743,8464.720699804811,6494.4944680501685,1.05042315457,0.0017900916010837313,,,2.0933150720667912,0.051008781293006906,0.00013187959937892293,0.06285571425465397,0.0005507120455249941,4340536572,0.00016431790011922282,21696579,4.965656124715717e-06,22 (23),129 (74),3%,-,7,8
los angeles,1973609766.9712806,53201,146414,5.5041822522133055,44070,2.9410161463130398,22416768.589000247,153.10536280000716,12125044.283000095,156.63408194031902,77410,26.956190068740252,22.329642230961507,11358.257829966673,6143.587494303549,1.04791427377,0.0010586419331484694,,,3.0444838577148383,0.03316487755796023,0.00010346207241001656,0.03155329160479307,0.0009116150805069377,4757166084,8.168846030049212e-05,15711955,2.8393642730960575e-06,,,,,,
